,Price,BHK,beds,baths,balcony,covered-parking,Carpet Area,Developer,Project,Floor,Transaction type,Status,Lifts,Address,Furnishing,Flooring,Water Availability,Status of Electricity,Price_Updated,BHK_2
0,60000000,3,3,3,nan,1,2300,DLF Ltd.,DLF One Midtown,,New Property,Under Construction,2,"Moti Nagar, New Delhi - West, Delhi NCR",Semi-Furnished,Vitrified,24 Hours Available,No/Rare Powercut,₹6.0 Cr,3
1,47500000,3,3,5,nan,2,2250,Indus Home,Luxury Builder Floor,,New Property,Ready to Move,0,"GK II, New Delhi - South, Delhi NCR",Semi-Furnished,,24 Hours Available,No/Rare Powercut,₹4.75 Cr,3
2,45000000,3,3,4,nan,1,1872,Metro Buildtech,Premium Builder Floor,,New Property,Ready to Move,0,"GK I, New Delhi - South, Delhi NCR",Semi-Furnished,"Vitrified, Wooden, Marble",24 Hours Available,No/Rare Powercut,₹4.50 Cr,3
3,17000000,3,3,2,4,1,1450,Cooperative Group Housing Society,Nishat Apartment,3 (Out of 10 Floors),Resale,Ready to Move,2,"Dwarka Sector 19, New Delhi, Sector 19 Dwarka, New Delhi - Dwarka, Delhi NCR",Furnished,Marble,24 Hours Available,No/Rare Powercut,₹1.70 Cr,3
4,7500000,3,3,3,1,1,1350,Delhi Development Authority DDA,DDA Freedom Fighter Enclave,3 (Out of 5 Floors),New Property,Ready to Move,0,"Freedom Fighter Enclave Saket New Delhi, Saket, New Delhi - South, Delhi NCR",Semi-Furnished,"Vitrified, Ceramic Tiles",24 Hours Available,No/Rare Powercut,₹75.0 Lac,3
5,19500000,3,3,3,4,1,1500,Cooperative Group Housing Society,Sarve Satyam Apartment,7 (Out of 10 Floors),Resale,Ready to Move,2,"Dwarka Sector 4, New Delhi, Sector 4 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Vitrified,24 Hours Available,No/Rare Powercut,₹1.95 Cr,3
6,18500000,3,3,3,3,1,1350,Cooperative Group Housing Society,Elephanta Heights,6 (Out of 8 Floors),Resale,Ready to Move,2,"Dwarka Sector 10, New Delhi, Sector 10 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Marble,24 Hours Available,No/Rare Powercut,₹1.85 Cr,3
7,7500000,3,3,2,1,24,1100,Build Wick Realty,Build Wick Iconic Homes,3 (Out of 4 Floors),New Property,,0,"Chhattarpur ENCLAVE PHASE 2, Chhattarpur, New Delhi - South, Delhi NCR",Semi-Furnished,"Ceramic Tiles, Wooden",,,₹75.0 Lac,3
8,18900000,3,3,3,2,1,1600,Swati Construction,The Shabad Apartment,4 (Out of 10 Floors),Resale,Ready to Move,2,"sector 13 dwarka shabad apartment, Sector 13 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Vitrified,24 Hours Available,No/Rare Powercut,₹1.89 Cr,3
9,3700000,2,2,2,1,nan,500,,,3 (Out of 4 Floors),New Property,Ready to Move,0,"rohini sector 23, Sector 23 Rohini, New Delhi - Rohini, Delhi NCR",Semi-Furnished,"Marble, Normal Tiles/Kotah Stone",24 Hours Available,No/Rare Powercut,₹37.0 Lac,2
10,40500000,3,3,3,3,nan,1650,,,3 (Out of 4 Floors),New Property,Ready to Move,0,"Greater Kailash 1, GK I, New Delhi - South, Delhi NCR",Unfurnished,"Vitrified, Wooden, Granite, Marbonite",24 Hours Available,No/Rare Powercut,₹4.05 Cr,3
11,32500000,2,2,2,3,nan,1680,,,22 (Out of 30 Floors),New Property,,4,"15, Shivaji Marg, House Complex Market, Karampura Industrial Area, Zakhira, New Delhi, Delhi 110015, Karam Pura, New Delhi - West, Delhi NCR",Unfurnished,"Vitrified, Wooden, Normal Tiles/Kotah Stone, Granite",12 Hours Available,No/Rare Powercut,₹3.25 Cr,2
12,24000000,3,3,2,1,1,1300,Cooperative Group Housing Society,Mayur Apartment,4 (Out of 7 Floors),New Property,Ready to Move,0,"Parvana Vihar, Pocket 53, Sector 9, Rohini, Delhi, Sector 9 Rohini, New Delhi - Rohini, Delhi NCR",Semi-Furnished,Marble,24 Hours Available,No/Rare Powercut,₹2.40 Cr,3
13,24500000,3,3,3,3,1,1900,Cooperative Group Housing Society,Pragya Apartments,7 (Out of 10 Floors),Resale,Ready to Move,2,"Dwarka Sector 2, New Delhi, Sector 2 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Marble,24 Hours Available,No/Rare Powercut,₹2.45 Cr,3
14,7500000,3,3,3,nan,nan,1500,,,2 (Out of 2 Floors),New Property,Ready to Move,0,"Kishangarh, New Delhi - South, Delhi NCR",Semi-Furnished,,,,₹75.0 Lac,3
15,8000000,2,2,2,1,1,600,Delhi Development Authority DDA,DDA Flats Sector-19,4 (Out of 4 Floors),New Property,,0,"Dda builder floor sector 19., Dwarka, New Delhi - Dwarka, Delhi NCR",Furnished,"Ceramic Tiles, Vitrified",24 Hours Available,No/Rare Powercut,₹80.0 Lac,2
16,32000000,2,2,2,2,nan,1180,DLF Ltd.,DLF One Midtown,7 (Out of 39 Floors),New Property,,0,"Moti Nagar, New Delhi - West, Delhi NCR",Furnished,"Wooden, Marble",,,₹3.20 Cr,2
17,21000000,3,3,2,3,1,1750,,Orchid Valley Apartment,9 (Out of 10 Floors),Resale,Ready to Move,2,"Dwarka Sector 19, New Delhi., Sector 19 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,"Ceramic Tiles, Marbonite, Mosaic",24 Hours Available,No/Rare Powercut,₹2.10 Cr,3
18,2750000,2,2,2,1,1,450,,,1 (Out of 4 Floors),New Property,Ready to Move,0,"House no., Uttam Nagar, New Delhi - West, Delhi NCR",Semi-Furnished,"Ceramic Tiles, Granite, Marble, Vitrified",24 Hours Available,No/Rare Powercut,₹27.5 Lac,2
19,6150000,3,3,2,1,1,1125,,Luxury Floors by Mark Developers,1 (Out of 5 Floors),New Property,Ready to Move,0,"Chattarpur, Chattarpur Extension, New Delhi - South, Delhi NCR",Unfurnished,"Mosaic, Vitrified, Wooden, Ceramic Tiles, Marble, Normal Tiles/Kotah Stone, Granite, Marbonite",24 Hours Available,No/Rare Powercut,₹61.5 Lac,3
20,18300000,3,3,2,2,1,1600,,Progressive Apartment,2 (Out of 8 Floors),Resale,Ready to Move,2,"Dwarka Sector 3, New Delhi, Sector 3 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Normal Tiles/Kotah Stone,24 Hours Available,No/Rare Powercut,₹1.83 Cr,3
21,11500000,2,2,2,1,nan,1000,Delhi Development Authority DDA,DDA Surabhi Apartment,1 (Out of 3 Floors),Resale,Ready to Move,0,"Dwarka Sector  New Delhi, Sector 11 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Mosaic,24 Hours Available,No/Rare Powercut,₹1.15 Cr,2
22,22000000,3,3,4,4,1,1760,Cooperative Group Housing Society,New Millenium Apartment,2 (Out of 7 Floors),Resale,Ready to Move,2,"Dwarka Sector 23, New Delhi, Sector 23 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,"Mosaic, Marble",24 Hours Available,No/Rare Powercut,₹2.20 Cr,3
23,16200000,3,3,2,3,1,1800,Delhi Development Authority DDA,DDA Flats Sarita Vihar,1 (Out of 4 Floors),Resale,Ready to Move,0,"Sarita vihar C block, Sarita Vihar, New Delhi - South, Delhi NCR",Unfurnished,"Wooden, Marble, Granite",24 Hours Available,No/Rare Powercut,₹1.62 Cr,3
24,30000000,3,3,3,nan,nan,1750,,,4 (Out of 4 Floors),Resale,Ready to Move,0,"Punjabi Bagh, Punjabi Bagh, New Delhi - West, Delhi NCR",Semi-Furnished,"Vitrified, Normal Tiles/Kotah Stone",24 Hours Available,No/Rare Powercut,₹3.0 Cr,3
25,12000000,3,3,2,1,1,1000,,,2 (Out of 4 Floors),New Property,Ready to Move,0,"sector 24, Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",Semi-Furnished,"Marble, Normal Tiles/Kotah Stone, Granite",24 Hours Available,No/Rare Powercut,₹1.20 Cr,3
