Price,BHK,beds,baths,balcony,covered-parking,Carpet Area,Developer,Project,Floor,Transaction type,Status,Lifts,Address,Furnishing,Flooring,Water Availability,Status of Electricity
₹6.0 Cr,3,3Beds,3Baths,,1 Covered Parking,2300,DLF Ltd.,DLF One Midtown,,New Property,Under Construction,2.0,"Moti Nagar, New Delhi - West, Delhi NCR",Semi-Furnished,Vitrified,24 Hours Available,No/Rare Powercut
₹4.75 Cr,3,3Beds,5Baths,,2 Covered Parking,2250,Indus Home,Luxury Builder Floor,,New Property,Ready to Move,,"GK II, New Delhi - South, Delhi NCR",Semi-Furnished,,24 Hours Available,No/Rare Powercut
₹4.50 Cr,3,3Beds,4Baths,,1 Covered Parking,1872,Metro Buildtech,Premium Builder Floor,,New Property,Ready to Move,,"GK I, New Delhi - South, Delhi NCR",Semi-Furnished,"Vitrified, Wooden, Marble",24 Hours Available,No/Rare Powercut
₹1.70 Cr,3,3Beds,2Baths,4Balconies,1 Covered Parking,1450,Cooperative Group Housing Society,Nishat Apartment,3 (Out of 10 Floors),Resale,Ready to Move,2.0,"Dwarka Sector 19, New Delhi, Sector 19 Dwarka, New Delhi - Dwarka, Delhi NCR",Furnished,Marble,24 Hours Available,No/Rare Powercut
₹75.0 Lac,3,3Beds,3Baths,1Balcony,1 Covered Parking,1350,Delhi Development Authority DDA,DDA Freedom Fighter Enclave,3 (Out of 5 Floors),New Property,Ready to Move,,"Freedom Fighter Enclave Saket New Delhi, Saket, New Delhi - South, Delhi NCR",Semi-Furnished,"Vitrified, Ceramic Tiles",24 Hours Available,No/Rare Powercut
₹1.95 Cr,3,3Beds,3Baths,4Balconies,1 Covered Parking,1500,Cooperative Group Housing Society,Sarve Satyam Apartment,7 (Out of 10 Floors),Resale,Ready to Move,2.0,"Dwarka Sector 4, New Delhi, Sector 4 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Vitrified,24 Hours Available,No/Rare Powercut
₹1.85 Cr,3,3Beds,3Baths,3Balconies,1 Covered Parking,1350,Cooperative Group Housing Society,Elephanta Heights,6 (Out of 8 Floors),Resale,Ready to Move,2.0,"Dwarka Sector 10, New Delhi, Sector 10 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Marble,24 Hours Available,No/Rare Powercut
₹75.0 Lac,3,3Beds,2Baths,1Balcony,24 Covered Parking,1100,Build Wick Realty,Build Wick Iconic Homes,3 (Out of 4 Floors),New Property,,,"Chhattarpur ENCLAVE PHASE 2, Chhattarpur, New Delhi - South, Delhi NCR",Semi-Furnished,"Ceramic Tiles, Wooden",,
₹1.89 Cr,3,3Beds,3Baths,2Balconies,1 Covered Parking,1600,Swati Construction,The Shabad Apartment,4 (Out of 10 Floors),Resale,Ready to Move,2.0,"sector 13 dwarka shabad apartment, Sector 13 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Vitrified,24 Hours Available,No/Rare Powercut
₹37.0 Lac,2,2Beds,2Baths,1Balcony,,500,,,3 (Out of 4 Floors),New Property,Ready to Move,,"rohini sector 23, Sector 23 Rohini, New Delhi - Rohini, Delhi NCR",Semi-Furnished,"Marble, Normal Tiles/Kotah Stone",24 Hours Available,No/Rare Powercut
₹4.05 Cr,3,3Beds,3Baths,3Balconies,,1650,,,3 (Out of 4 Floors),New Property,Ready to Move,,"Greater Kailash 1, GK I, New Delhi - South, Delhi NCR",Unfurnished,"Vitrified, Wooden, Granite, Marbonite",24 Hours Available,No/Rare Powercut
₹3.25 Cr,2,2Beds,2Baths,3Balconies,,1680,,,22 (Out of 30 Floors),New Property,,4.0,"15, Shivaji Marg, House Complex Market, Karampura Industrial Area, Zakhira, New Delhi, Delhi 110015, Karam Pura, New Delhi - West, Delhi NCR",Unfurnished,"Vitrified, Wooden, Normal Tiles/Kotah Stone, Granite",12 Hours Available,No/Rare Powercut
₹2.40 Cr,3,3Beds,2Baths,1Balcony,1 Covered Parking,1300,Cooperative Group Housing Society,Mayur Apartment,4 (Out of 7 Floors),New Property,Ready to Move,,"Parvana Vihar, Pocket 53, Sector 9, Rohini, Delhi, Sector 9 Rohini, New Delhi - Rohini, Delhi NCR",Semi-Furnished,Marble,24 Hours Available,No/Rare Powercut
₹2.45 Cr,3,3Beds,3Baths,3Balconies,1 Covered Parking,1900,Cooperative Group Housing Society,Pragya Apartments,7 (Out of 10 Floors),Resale,Ready to Move,2.0,"Dwarka Sector 2, New Delhi, Sector 2 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Marble,24 Hours Available,No/Rare Powercut
₹75.0 Lac,3,3Beds,3Baths,,,1500,,,2 (Out of 2 Floors),New Property,Ready to Move,,"Kishangarh, New Delhi - South, Delhi NCR",Semi-Furnished,,,
₹80.0 Lac,2,2Beds,2Baths,1Balcony,1 Covered Parking,600,Delhi Development Authority DDA,DDA Flats Sector-19,4 (Out of 4 Floors),New Property,,,"Dda builder floor sector 19., Dwarka, New Delhi - Dwarka, Delhi NCR",Furnished,"Ceramic Tiles, Vitrified",24 Hours Available,No/Rare Powercut
₹3.20 Cr,2,2Beds,2Baths,2Balconies,,1180,DLF Ltd.,DLF One Midtown,7 (Out of 39 Floors),New Property,,,"Moti Nagar, New Delhi - West, Delhi NCR",Furnished,"Wooden, Marble",,
₹2.10 Cr,3,3Beds,2Baths,3Balconies,1 Covered Parking,1750,,Orchid Valley Apartment,9 (Out of 10 Floors),Resale,Ready to Move,2.0,"Dwarka Sector 19, New Delhi., Sector 19 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,"Ceramic Tiles, Marbonite, Mosaic",24 Hours Available,No/Rare Powercut
₹27.5 Lac,2,2Beds,2Baths,1Balcony,1 Covered Parking,450,,,1 (Out of 4 Floors),New Property,Ready to Move,,"House no., Uttam Nagar, New Delhi - West, Delhi NCR",Semi-Furnished,"Ceramic Tiles, Granite, Marble, Vitrified",24 Hours Available,No/Rare Powercut
₹61.5 Lac,3,3Beds,2Baths,1Balcony,1 Covered Parking,1125,,Luxury Floors by Mark Developers,1 (Out of 5 Floors),New Property,Ready to Move,,"Chattarpur, Chattarpur Extension, New Delhi - South, Delhi NCR",Unfurnished,"Mosaic, Vitrified, Wooden, Ceramic Tiles, Marble, Normal Tiles/Kotah Stone, Granite, Marbonite",24 Hours Available,No/Rare Powercut
₹1.83 Cr,3,3Beds,2Baths,2Balconies,1 Covered Parking,1600,,Progressive Apartment,2 (Out of 8 Floors),Resale,Ready to Move,2.0,"Dwarka Sector 3, New Delhi, Sector 3 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Normal Tiles/Kotah Stone,24 Hours Available,No/Rare Powercut
₹1.15 Cr,2,2Beds,2Baths,1Balcony,,1000,Delhi Development Authority DDA,DDA Surabhi Apartment,1 (Out of 3 Floors),Resale,Ready to Move,,"Dwarka Sector  New Delhi, Sector 11 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Mosaic,24 Hours Available,No/Rare Powercut
₹2.20 Cr,3,3Beds,4Baths,4Balconies,1 Covered Parking,1760,Cooperative Group Housing Society,New Millenium Apartment,2 (Out of 7 Floors),Resale,Ready to Move,2.0,"Dwarka Sector 23, New Delhi, Sector 23 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,"Mosaic, Marble",24 Hours Available,No/Rare Powercut
₹1.62 Cr,3,3Beds,2Baths,3Balconies,1 Covered Parking,1800,Delhi Development Authority DDA,DDA Flats Sarita Vihar,1 (Out of 4 Floors),Resale,Ready to Move,,"Sarita vihar C block, Sarita Vihar, New Delhi - South, Delhi NCR",Unfurnished,"Wooden, Marble, Granite",24 Hours Available,No/Rare Powercut
₹3.0 Cr,3,3Beds,3Baths,,,1750,,,4 (Out of 4 Floors),Resale,Ready to Move,,"Punjabi Bagh, Punjabi Bagh, New Delhi - West, Delhi NCR",Semi-Furnished,"Vitrified, Normal Tiles/Kotah Stone",24 Hours Available,No/Rare Powercut
₹1.20 Cr,3,3Beds,2Baths,1Balcony,1 Covered Parking,1000,,,2 (Out of 4 Floors),New Property,Ready to Move,,"sector 24, Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",Semi-Furnished,"Marble, Normal Tiles/Kotah Stone, Granite",24 Hours Available,No/Rare Powercut
₹44.5 Lac,3,3Beds,2Baths,,1 Covered Parking,720,,,1 (Out of 4 Floors),New Property,Ready to Move,,"New Delhi, Dwarka Mor, New Delhi - West, Delhi NCR",Semi-Furnished,"Ceramic Tiles, Marble, Normal Tiles/Kotah Stone, Granite",24 Hours Available,No/Rare Powercut
₹2.47 Cr,3,3Beds,3Baths,3Balconies,1 Covered Parking,1850,Cooperative Group Housing Society,Pragya Apartments,1 (Out of 10 Floors),Resale,Ready to Move,2.0,"Dwarka Sector 2, New Delhi, Sector 2 Dwarka, New Delhi - Dwarka, Delhi NCR",Furnished,"Ceramic Tiles, Normal Tiles/Kotah Stone",24 Hours Available,No/Rare Powercut
₹3.0 Cr,3,3Beds,3Baths,2Balconies,1 Covered Parking,1350,,,4 (Out of 4 Floors),New Property,,,"b1, Janakpuri, New Delhi - West, Delhi NCR",Semi-Furnished,Marble,24 Hours Available,No/Rare Powercut
₹40.0 Lac,3,3Beds,2Baths,1Balcony,,90sqyrd,,,1 (Out of 4 Floors),New Property,Ready to Move,,"Uttam Nagar New Delhi, Uttam Nagar, New Delhi - West, Delhi NCR",Semi-Furnished,"Vitrified, Marble",,
₹30.0 Lac,2,2Beds,2Baths,1Balcony,1 Covered Parking,500,,,1 (Out of 4 Floors),New Property,Ready to Move,,"RZ - 154 Santosh Park Nirankari Bhawan Uttam Nagar, Uttam Nagar West, New Delhi - West, Delhi NCR",Semi-Furnished,Ceramic Tiles,24 Hours Available,No/Rare Powercut
₹1.39 Cr,2,2Beds,2Baths,,1 Covered Parking,1000,Cooperative Group Housing Society,Great India Apartment,5 (Out of 7 Floors),Resale,Ready to Move,2.0,"Dwarka Sector 6, New Delhi, Sector 6 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Mosaic,24 Hours Available,No/Rare Powercut
₹93.0 Lac,3,3Beds,2Baths,1Balcony,1 Covered Parking,950,,,4 (Out of 4 Floors),New Property,Ready to Move,,"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",Semi-Furnished,"Marble, Normal Tiles/Kotah Stone",24 Hours Available,No/Rare Powercut
₹75.0 Lac,3,3Beds,2Baths,1Balcony,1 Covered Parking,1150,,,1 (Out of 4 Floors),New Property,Ready to Move,,"A1. Zara Farm. Hargobind Enclave Chhattarpur., Chattarpur Enclave, New Delhi - South, Delhi NCR",Semi-Furnished,"Ceramic Tiles, Granite, Vitrified",24 Hours Available,No/Rare Powercut
₹3.75 Cr,2,2Beds,2Baths,1Balcony,,1732,DLF Ltd.,DLF One Midtown,39 (Out of 39 Floors),New Property,,2.0,"15, Shivaji Marg, House Complex Market, Karampura Industrial Area, Zakhira, New Delhi, Delhi 110015, Moti Nagar, New Delhi - West, Delhi NCR",Furnished,Vitrified,24 Hours Available,No/Rare Powercut
₹1.28 Cr,2,2Beds,2Baths,,1 Covered Parking,1300,Cooperative Group Housing Society,Bank Apartments,8 (Out of 8 Floors),Resale,Ready to Move,2.0,"A1 TO A23, Rd No 202, Sector 4, Dwarka, Delhi, Sector 4 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Vitrified,24 Hours Available,No/Rare Powercut
